512		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
0,255,0,255
222,151,81,255
255,222,174,255
0,0,0,255
33,104,255,255
222,151,81,255
255,222,174,255
0,0,0,255
222,222,0,255
222,151,81,255
255,222,174,255
0,0,0,255
222,0,0,255
222,151,81,255
255,222,174,255
0,0,0,255
33,104,255,255
222,151,81,255
255,222,174,255
0,0,0,255
222,0,0,255
222,151,81,255
255,222,174,255
0,0,0,255
0,255,0,255
222,151,81,255
255,222,174,255
0,0,0,255
222,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,222,174,255
0,0,0,255
0,0,0,255
0,0,0,255
184,104,81,255
222,151,81,255
255,222,174,255
0,0,0,255
222,151,0,255
0,0,0,255
0,0,0,255
0,0,0,255
255,151,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
222,151,0,255
0,222,255,255
0,0,0,255
0,0,0,255
222,222,0,255
222,222,255,255
33,104,255,255
0,0,0,255
222,0,0,255
0,255,0,255
0,255,0,255
0,0,0,255
222,0,0,255
33,104,255,255
0,255,0,255
0,0,0,255
222,151,0,255
222,222,0,255
0,255,0,255
0,0,0,255
255,151,255,255
222,0,0,255
0,255,0,255
0,0,0,255
255,151,255,255
33,104,255,255
0,255,0,255
0,0,0,255
222,151,0,255
222,0,0,255
0,255,0,255
0,0,0,255
0,222,255,255
0,255,0,255
0,255,0,255
0,0,0,255
0,222,255,255
222,222,255,255
0,255,0,255
0,0,0,255
222,0,0,255
222,222,255,255
0,255,0,255
0,0,0,255
33,104,255,255
222,222,255,255
222,222,0,255
0,0,0,255
33,104,255,255
222,151,81,255
255,222,174,255
0,0,0,255
0,0,0,255
222,151,0,255
0,222,255,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
0,0,0,255
